filename,size_bytes
example10a.bin.rar,1395
example10.bin.gz,1558
example10a.bin.zip,1643
example10b.bin.bz2,1619
example10.bin.rar,1421
example10a.bin.gz,1498
example10b.bin.rar,1546
example10.bin.7z,1349
example10.bin.zip,1702
example10b.bin.arj,1660
example10a.bin.7z,1311
example10a.bin.lzma,1187
example10.bin,16384
example10a.bin.xz,1232
example10b.bin.lzma,1370
example10a.bin.bz2,1656
example10b.bin.7z,1474
example10.bin.bz2,1664
example10.bin.lzma,1210
example10.bin.arj,1716
example10b.bin.xz,1416
example10b.bin.zip,1717
example10b.bin,16384
example10.bin.xz,1256
example10a.bin.arj,1657
example10b.bin.gz,1572
example10a.bin,16384
example4.scr.rar,1897
example4b.scr.xz,1096
example4a.scr.rar,1816
example4.scr.arj,2095
example4a.scr.gz,1992
example4a.scr.zip,2136
example4b.scr.7z,1168
example4.scr.7z,1862
example4b.scr.zip,1289
example4a.scr.xz,1640
example4a.scr.lzma,1592
example4b.scr.arj,1263
example4b.scr,6912
example4b.scr.lzma,1049
example4b.scr.rar,1205
example4b.scr.bz2,1464
example4.scr.lzma,1751
example4.scr.bz2,2211
example4.scr.gz,1949
example4a.scr.arj,2134
example4.scr.xz,1796
example4b.scr.gz,1146
example4a.scr.bz2,2196
example4.scr,6912
example4a.scr,6912
example4a.scr.7z,1721
example4.scr.zip,2092
example3.scr.bz2,3057
example3b.scr,6912
example3b.scr.lzma,2151
example3.scr.7z,2702
example3.scr.xz,2636
example3a.scr.lzma,2465
example3a.scr.gz,2718
example3a.scr.arj,2838
example3b.scr.bz2,2690
example3a.scr.zip,2862
example3b.scr.rar,2294
example3.scr.lzma,2591
example3.scr.arj,2914
example3.scr.gz,2792
example3b.scr.7z,2262
example3a.scr.7z,2576
example3.scr.rar,2770
example3b.scr.gz,2259
example3b.scr.zip,2403
example3a.scr.xz,2512
example3.scr,6912
example3a.scr,6912
example3a.scr.rar,2663
example3.scr.zip,2935
example3a.scr.bz2,3048
example3b.scr.arj,2384
example3b.scr.xz,2196
example9a.bin.xz,1356
example9b.bin.bz2,1673
example9a.bin.lzma,1311
example9.bin,16384
example9a.bin.bz2,1724
example9.bin.arj,1850
example9a.bin,16384
example9.bin.gz,1670
example9.bin.zip,1813
example9.bin.xz,1360
example9b.bin.xz,1276
example9b.bin.zip,1584
example9b.bin.7z,1347
example9a.bin.zip,1770
example9b.bin,16384
example9b.bin.gz,1441
example9b.bin.arj,1570
example9.bin.bz2,1715
example9a.bin.gz,1626
example9b.bin.lzma,1229
example9.bin.rar,1492
example9b.bin.rar,1384
example9a.bin.arj,1790
example9a.bin.rar,1479
example9a.bin.7z,1400
example9.bin.lzma,1314
example9.bin.7z,1435
example5a.scr.bz2,4909
example5b.scr.lzma,3906
example5b.scr.bz2,4603
example5a.scr.arj,4413
example5b.scr,6912
example5a.scr.rar,4354
example5b.scr.zip,4200
example5b.scr.xz,3952
example5.scr.lzma,4208
example5a.scr,6912
example5.scr.rar,4479
example5a.scr.gz,4285
example5b.scr.gz,4056
example5.scr.gz,4368
example5.scr.zip,4511
example5.scr.arj,4498
example5b.scr.arj,4183
example5a.scr.lzma,4039
example5a.scr.zip,4429
example5b.scr.rar,4058
example5b.scr.7z,4027
example5.scr.7z,4363
example5.scr.bz2,4923
example5a.scr.7z,4172
example5.scr.xz,4256
example5.scr,6912
example5a.scr.xz,4084
